NOTA_FISCAL;NOME;CPF;CIDADE;CARGO;ENDERECO;EMAIL;DATA_NASCIMENTO;IDADE;DATA_EMISSAO;VALOR_NOTA;COMISSAO;VENDEDOR
243091;Manuella Gonçalves;286.739.541-00;Martins;Gagsman;Avenida Clarice Cassiano, 39;elisamelo@example.org;02/07/1931;94;07/10/2025;521;7,81;Vendedor_E
758583;Marcelo Mendonça;812.074.965-02;Pacheco de Caldeira;Astronauta;Recanto Bianca Gonçalves, 4;melina92@example.com;08/12/1970;55;10/06/2025;287;4,3;Vendedor_D
383728;Fernanda da Cunha;217.368.905-30;Mendonça;Assistente de direção;Parque de Casa Grande, 793;fda-cunha@example.org;07/04/1918;107;30/09/2025;670;10,05;Vendendor_B
887460;Erick da Rosa;104.267.395-07;Albuquerque Paulista;Físico nuclear;Ladeira Costela, 71;fariasana@example.com;15/05/1958;67;27/05/2025;658;9,87;Vendedor_E
959590;Dra. Bruna Costela;769.203.514-80;Câmara;Flautista;Sítio de Souza, 4;jose19@example.net;01/07/2019;6;02/07/2025;629;9,44;Vendedor_D
185201;Kevin Gonçalves;130.658.749-20;Fernandes;Paparazzo;Jardim de Moraes, 49;ericksilva@example.net;09/03/1963;62;05/03/2025;720;10,8;Vendendor_B
838086;João Guilherme da Rosa;164.352.089-05;Pastor;Cantor;Núcleo Pereira, 92;otavio42@example.net;06/10/1935;90;29/12/2024;439;6,58;Vendendor_A
838549;Valentina Pacheco;637.582.190-86;Ribeiro;Assistente de produção;Distrito de Garcia, 899;gabrielly87@example.net;07/11/1975;50;25/12/2024;255;3,82;Vendedor_D
303119;Letícia Porto;741.952.680-01;da Paz Verde;Profissional de recursos humanos;Viela de Pires;stephanycosta@example.net;21/05/1915;110;05/05/2025;70;1,05;Vendedor_D
893820;Arthur Miguel Teixeira;674.852.031-26;Machado;Operador de bombas;Chácara Valentim Mendonça, 35;diaspedro-miguel@example.net;21/04/1963;62;05/08/2025;201;3,01;Vendedor_E
191478;Dr. Luigi Sousa;823.517.960-12;Casa Grande;Profissional de marketing;Setor de Camargo, 281;machadorhavi@example.net;11/07/1947;78;08/04/2025;56;0,84;Vendendor_A
922490;Erick Silveira;860.741.295-76;Siqueira de Cassiano;Lapidário;Estrada de Farias, 93;andradezoe@example.org;28/09/1927;98;17/01/2025;271;4,06;Vendendor_C
694014;Davi Vieira;936.847.025-10;Correia;Profissional de linguística;Setor de Jesus, 1;bruno72@example.com;01/02/1942;83;19/12/2024;854;12,81;Vendedor_E
426247;Cauã Aragão;428.730.916-22;Cunha;Capelão;Estação de Pereira, 402;miguel50@example.org;24/02/2001;24;29/03/2025;63;0,94;Vendendor_A
672397;Enzo Gabriel Mendes;831.475.096-48;Costela Verde;Escrivão;Via José Pimenta, 46;ayla72@example.org;05/06/1959;66;10/07/2025;823;12,34;Vendedor_D
457977;João Lucas Fonseca;371.420.569-16;Dias;Agente de combate à endemias;Parque de Duarte, 56;goncalvesfrancisco@example.org;25/01/1957;68;13/11/2024;309;4,63;Vendedor_D
221726;Alice Garcia;320.591.876-21;Camargo Alegre;Corretor da bolsa de valores;Travessa Cirino, 6;augusto05@example.com;13/12/1992;33;01/12/2024;740;11,1;Vendedor_E
859862;Clarice Sá;541.903.762-99;Leão;Tapeceiro;Alameda Thiago Aparecida;jesusarthur-gabriel@example.com;29/10/2019;6;18/03/2025;417;6,25;Vendendor_C
535625;Heloísa Mendes;469.235.708-83;Rezende Grande;Ceramista;Passarela Monteiro;marcelo69@example.org;23/11/1931;94;13/10/2025;105;1,57;Vendedor_E
972128;Gabriel Pacheco;864.237.905-74;Alves;Servente-de-obras;Praia Alícia Costa, 50;teixeirabrenda@example.org;20/02/2021;4;13/08/2025;698;10,47;Vendendor_C
953591;Francisco Farias;759.281.430-79;Leão das Pedras;Ator;Área Bruno Lopes, 3;luiz-henrique95@example.org;30/04/1983;42;24/02/2025;233;3,49;Vendendor_A
741571;Calebe Câmara;562.784.019-67;Dias de Barbosa;Construtor;Quadra Mariah Fernandes, 16;bda-rocha@example.org;24/04/1973;52;30/01/2025;24;0,36;Vendendor_B
644059;Enrico Rios;687.901.524-76;Souza;Ortopedista;Largo Nascimento, 34;agatha57@example.org;03/03/1947;78;23/10/2025;281;4,21;Vendendor_A
397386;Dr. João Gabriel Pacheco;169.542.830-70;Rocha Alegre;Capitão;Lagoa de Pires, 252;raraujo@example.net;22/01/1954;71;27/08/2025;147;2,21;Vendedor_E
216775;Larissa Pereira;406.531.879-39;Moreira;Mecânico;Travessa Daniel Marques, 2;ana-beatrizfonseca@example.com;29/04/1988;37;12/12/2024;454;6,81;Vendendor_C
515531;Agatha Lopes;659.148.037-48;Barros de Goiás;Instrumentista musical;Setor Maria da Mota, 40;aurora45@example.net;03/10/1996;29;23/10/2025;383;5,75;Vendendor_C
373937;Isaac Fonseca;234.687.501-53;Melo;Profissional de marketing;Viela Pietra Moraes, 2;rafaelamelo@example.net;13/12/1990;35;17/05/2025;851;12,76;Vendendor_A
408496;Emilly Novais;704.961.253-70;Monteiro;Profissional de tecnologia de laticínios;Favela Gonçalves, 88;danielacamara@example.net;23/01/1938;87;19/04/2025;881;13,21;Vendedor_E
821404;Enzo Peixoto;492.670.581-85;Sá de Brito;Ambulante;Loteamento Theo Siqueira, 330;beniciomontenegro@example.net;24/10/1990;35;16/07/2025;695;10,42;Vendendor_B
967301;Emanuel Campos;306.529.487-74;Farias;Gerente de inovações ou novos negócios;Viela André da Cunha, 45;antonellada-paz@example.com;19/04/1936;89;21/11/2024;968;14,52;Vendendor_A
761278;Ana Cecília Pires;576.283.094-29;da Rosa da Praia;Retificador;Área Francisco Jesus, 51;ypimenta@example.net;19/02/1914;111;01/06/2025;616;9,24;Vendendor_A
394563;Anthony Gabriel da Mota;041.987.235-32;Garcia Alegre;Engenheiro cartográfico;Chácara Daniel Monteiro, 28;lucas-gabriel98@example.org;06/12/2017;8;14/02/2025;809;12,13;Vendendor_A
112290;Mateus Moraes;784.692.015-49;Borges do Galho;Infectologista;Residencial de Melo, 77;caue63@example.org;30/12/2003;22;04/06/2025;651;9,76;Vendendor_A
642575;Ana Luiza Aparecida;094.872.513-32;Barbosa do Galho;Técnico em radiologia;Área Freitas, 54;sarah11@example.net;31/08/2008;17;16/04/2025;998;14,97;Vendedor_D
825999;Maria Eduarda Camargo;869.342.107-78;Fernandes;Matemático;Rodovia Maria Pimenta, 299;aguerra@example.org;08/11/1921;104;04/04/2025;443;6,64;Vendendor_A
240309;Ana Júlia Silveira;943.670.825-47;Costa da Prata;Corregedor de justiça;Conjunto Bárbara Cunha, 332;cpeixoto@example.net;25/01/2020;5;08/06/2025;952;14,28;Vendendor_C
220462;Camila Cirino;762.508.349-74;da Luz do Oeste;Gerente de vendas;Trevo de Vasconcelos;samuelcorreia@example.org;07/06/1970;55;16/08/2025;424;6,36;Vendendor_B
804429;Sr. Ravi Leão;854.260.379-65;Nascimento;Vendedor;Quadra Marina Pinto;juliana53@example.org;09/03/1930;95;12/10/2025;992;14,88;Vendedor_E
861354;Maria Cecília Viana;941.230.685-70;Ribeiro;Camelô;Avenida Luiz Fernando Teixeira, 84;ravi90@example.org;17/01/1939;86;20/12/2024;694;10,41;Vendedor_E
409613;Ian Azevedo;079.543.861-39;Rezende de Minas;Contador;Sítio Gabriela da Rocha, 46;theo12@example.net;24/09/2015;10;23/03/2025;92;1,38;Vendendor_A
616004;Ravy Freitas;874.961.253-00;Rios Verde;Técnico em documentação;Aeroporto Ana Fogaça, 985;luigi26@example.net;05/09/1948;77;01/08/2025;389;5,83;Vendendor_B
755538;Thales Rodrigues;126.879.540-20;Marques;Lutador de luta livre;Núcleo Apollo Sales, 211;portomaite@example.net;18/12/1992;33;16/12/2024;739;11,08;Vendendor_B
347337;Dra. Jade Fernandes;367.594.821-82;Gonçalves;Chapeiro;Morro Brayan Mendes, 48;raelda-cunha@example.net;13/06/1920;105;08/03/2025;628;9,42;Vendendor_A
583070;Carlos Eduardo Nascimento;974.623.158-82;Alves;Instalador de linha telefônica;Pátio Catarina Marques, 12;renan62@example.com;28/01/1966;59;18/12/2024;379;5,68;Vendendor_C
780070;Lívia Oliveira;713.905.682-02;Silva Grande;Profissional de cinema;Setor Barros, 22;da-matarafael@example.com;24/12/1943;82;17/02/2025;31;0,46;Vendendor_C
458501;Cecília das Neves;587.426.301-26;Machado;Serralheiro;Núcleo Gabriela Rios, 895;rebecaandrade@example.com;01/06/1972;53;05/12/2024;207;3,1;Vendendor_A
564643;Allana Camargo;750.389.624-83;da Mota da Praia;Comandante;Vale de Costela, 833;fariasana-sophia@example.net;10/11/1977;48;07/07/2025;279;4,18;Vendendor_B
958988;Dr. Vinícius Fogaça;291.065.438-98;Peixoto;Orçamentista;Parque Aparecida, 57;moraesmaria-julia@example.com;05/02/1983;42;07/04/2025;646;9,69;Vendendor_B
846750;Catarina da Cruz;365.924.078-83;Porto;Assistente de câmera;Ladeira de Sampaio, 5;juliana22@example.org;24/01/1963;62;03/08/2025;270;4,05;Vendedor_D
722351;Sr. Davi Lucas Porto;753.916.028-40;da Cunha;Serventuário;Chácara de Gomes;joao-miguelda-cunha@example.com;10/10/1982;43;01/02/2025;398;5,97;Vendedor_D
602836;Emilly Câmara;473.180.956-84;Cassiano;Maitre;Lagoa Benicio Melo;vfarias@example.org;09/01/1934;91;18/11/2024;556;8,34;Vendedor_E
194724;Mariah da Cruz;509.361.247-25;Camargo de Goiás;Telefonista;Setor de Rios, 42;cmendonca@example.net;03/09/2005;20;06/09/2025;5;0,07;Vendendor_C
116343;Catarina da Cunha;108.534.976-48;Mendonça;Administrador;Avenida Barros, 78;eloaandrade@example.com;11/07/1960;65;20/12/2024;962;14,43;Vendendor_A
700601;Apollo Jesus;820.791.364-96;Nogueira Alegre;Seguidor de compras;Largo de Campos, 38;souzatheo@example.com;22/08/1958;67;11/05/2025;414;6,21;Vendedor_D
591305;Davi Miguel Monteiro;503.762.914-43;Freitas de Aragão;Encanador;Jardim Novaes;theo68@example.com;07/07/1994;31;16/09/2025;941;14,12;Vendendor_B
363526;Srta. Ana Lívia Monteiro;513.608.729-30;Macedo de Santos;Técnico tributarista;Área de Moura, 78;maria-sophiaoliveira@example.net;09/09/1935;90;28/02/2025;309;4,63;Vendedor_E
685333;Lavínia Marques;294.753.860-92;Melo dos Dourados;Urbanista;Praia Silva, 52;pastormilena@example.net;05/02/2016;9;04/06/2025;742;11,13;Vendendor_C
403853;Evelyn Duarte;634.270.158-07;Sales;Pediatra;Praia Nascimento, 24;amelo@example.org;24/12/1990;35;08/08/2025;652;9,78;Vendendor_B
708535;Rafael Ribeiro;192.504.836-51;Campos do Amparo;Capataz;Lagoa de Albuquerque, 906;joao-miguelpastor@example.org;08/06/2001;24;24/02/2025;839;12,58;Vendendor_B
382496;Pietro Martins;631.709.485-39;Ramos das Flores;Agrimensor;Rua Aparecida;silveiramaya@example.org;06/01/1929;96;14/12/2024;66;0,99;Vendendor_A
815758;Giovanna Vargas;406.859.372-83;Castro das Flores;Arrumadeira;Rua de Moura, 293;joanamachado@example.com;02/02/2009;16;06/03/2025;111;1,67;Vendendor_A
511679;Maria Martins;530.647.918-93;Lopes da Mata;Salva-vidas;Viela Azevedo, 84;pintoisaac@example.org;23/08/2021;4;19/01/2025;115;1,72;Vendendor_C
542935;Calebe Cardoso;562.780.139-59;Campos;Parteira tradicional;Via Maitê da Costa, 6;alicepacheco@example.com;26/07/1988;37;06/05/2025;511;7,67;Vendedor_D
936084;Zoe Correia;341.985.026-33;Macedo da Serra;Quadrinista;Viela Ravi Pacheco, 801;beatriz40@example.com;05/02/2021;4;13/10/2025;79;1,19;Vendendor_B
104007;Ana Teixeira;375.182.469-37;Pires de Minas;Timoneiro;Rua de da Cunha, 82;novaisluiz-felipe@example.org;22/03/2024;1;17/06/2025;324;4,86;Vendendor_A
428772;Rebeca Novaes;169.574.208-76;Dias;Continuista;Largo de Pimenta, 7;apollo03@example.org;20/09/1921;104;26/11/2024;139;2,08;Vendendor_B
295302;Cecília Andrade;280.596.341-51;Novaes do Norte;Cardiologista;Parque Olívia Lopes, 79;alana60@example.com;24/01/2025;0;13/06/2025;395;5,92;Vendendor_A
101358;Rafaela Rezende;487.261.930-78;Marques;Borracheiro;Viela Raul Almeida, 600;camila36@example.com;28/01/2002;23;02/05/2025;91;1,36;Vendedor_E
355202;João Lucas Moraes;953.704.628-10;Sales;Ventríloquo;Largo Melina Novais, 95;maria-flor56@example.net;06/01/1989;36;11/10/2025;759;11,38;Vendendor_A
452218;Antônio Barbosa;309.526.471-25;Andrade;Administrador público;Colônia Pires, 640;maria-luizaviana@example.net;24/03/2014;11;20/10/2025;301;4,51;Vendendor_C
976504;Luiza Lima;106.472.859-67;Dias do Oeste;Paisagista;Favela Rodrigo Teixeira;sapedro@example.org;13/07/1975;50;25/11/2024;58;0,87;Vendedor_D
453701;Liam Novaes;905.172.483-79;Albuquerque;Cabeleireiro;Recanto João Lucas Nunes, 70;santosemanuel@example.net;08/05/1934;91;07/05/2025;454;6,81;Vendedor_D
247865;Marcela da Paz;364.098.251-70;Sales do Amparo;Ortesista;Recanto de Dias, 61;luigicaldeira@example.com;21/08/1920;105;10/08/2025;415;6,22;Vendendor_A
419934;Matheus Araújo;160.497.385-48;Peixoto;Engenheiro de produto ou produção;Vereda Vitor Hugo Mendes, 27;brenda46@example.org;27/10/2011;14;10/06/2025;453;6,79;Vendendor_A
446338;Isabella da Costa;832.476.105-53;Vieira de das Neves;Tenista;Feira José Vieira, 93;pereiraenrico@example.org;16/11/2024;1;04/10/2025;279;4,18;Vendedor_D
282954;Ana Clara Nunes;574.183.620-80;Campos;Armador;Sítio Isadora Carvalho;silveirahenrique@example.org;30/09/1926;99;25/05/2025;445;6,67;Vendendor_B
950831;Maria Guerra;064.528.139-51;Gonçalves;Astrônomo;Alameda Marques, 4;ramosbarbara@example.com;16/05/1936;89;14/01/2025;554;8,31;Vendendor_C
565679;Ana Cecília Dias;530.728.469-10;Mendonça de Novaes;Promotor de eventos;Via de Albuquerque, 89;macedocalebe@example.org;11/07/1987;38;14/07/2025;23;0,34;Vendendor_A
349982;Gabriela Araújo;184.293.570-41;da Luz;Guitarrista;Loteamento Gael Gomes, 2;aylla87@example.net;06/07/1965;60;15/09/2025;397;5,96;Vendendor_B
752013;Thales da Conceição;745.018.932-14;Aragão;Viveirista;Rodovia Luna Viana, 398;uda-luz@example.com;12/04/1999;26;20/07/2025;493;7,39;Vendendor_B
704001;Luiz Henrique Novaes;276.154.830-26;da Rocha Verde;Policial militar;Lagoa Moreira, 954;gabrielcostela@example.com;06/05/1969;56;25/12/2024;411;6,17;Vendendor_C
486285;Ana Liz Sales;820.617.493-13;Ramos do Galho;Transcritor;Viaduto de Ramos, 78;maria-liz83@example.net;02/05/2024;1;27/02/2025;192;2,88;Vendedor_E
876080;Letícia Siqueira;473.286.019-22;Gomes da Praia;Técnico em agropecuária;Núcleo Gustavo Henrique Melo, 730;brenda18@example.org;04/07/2021;4;01/11/2025;226;3,39;Vendendor_C
662516;Valentim Santos;154.763.289-55;Ramos do Campo;Corretor de imóveis;Recanto Enzo Gabriel Correia, 54;pimentadanilo@example.com;19/12/1953;72;22/10/2025;969;14,54;Vendendor_C
344750;Sra. Sophie Alves;130.864.579-10;Cavalcante de Moura;Prensista;Morro João Guilherme Santos, 6;ana-liviasouza@example.com;27/02/1920;105;20/02/2025;471;7,06;Vendendor_B
529670;Diego Sousa;820.695.417-11;da Cunha da Mata;Embaixador;Via Lima, 2;da-rochastella@example.org;20/08/1921;104;03/10/2025;809;12,13;Vendedor_E
466747;Bento Moraes;025.134.786-90;Viana de Barros;Engenheiro de telecomunicações;Viela Rezende;camilacavalcanti@example.com;26/05/1948;77;18/06/2025;961;14,41;Vendendor_B
705847;Liz Sampaio;082.371.596-59;Fernandes Grande;Atuário;Núcleo Rios;das-nevesisabelly@example.net;12/09/1970;55;05/09/2025;339;5,08;Vendendor_C
415940;Olivia Nascimento;840.763.519-75;Rezende do Norte;Cinematográfo;Quadra Santos, 62;borgesvalentim@example.org;02/09/1961;64;24/02/2025;663;9,95;Vendedor_E
332041;Ana Clara da Luz;580.942.713-88;Borges de Porto;Profissional de relacionamento com investidores RI;Colônia Maya Mendes, 92;rmonteiro@example.org;25/06/1983;42;01/05/2025;174;2,61;Vendendor_B
768558;Ian Alves;403.287.951-60;Brito do Galho;Odontopediatra;Feira Ester das Neves, 3;liviaferreira@example.com;20/05/1973;52;10/07/2025;491;7,36;Vendedor_D
376001;Leonardo Viana;945.281.360-15;Rezende das Flores;Profissional de manutenção industrial;Lago Nunes, 82;da-cruzdaniel@example.org;11/01/1990;35;14/02/2025;538;8,07;Vendedor_E
299821;Rafael Campos;237.854.609-29;Pacheco;Oceanógrafo;Distrito José Abreu, 42;enzo-gabrielcirino@example.org;11/04/1942;83;26/03/2025;882;13,23;Vendedor_D
184099;Laís Brito;157.230.648-35;Rocha;Dançarino;Estação Ian Aragão, 18;ana-luiza35@example.org;11/05/1930;95;15/04/2025;394;5,91;Vendedor_D
579262;Maysa Fernandes;321.986.705-77;da Rosa Alegre;Paparazzo;Conjunto Gonçalves, 299;eloaalmeida@example.org;09/04/1957;68;29/07/2025;848;12,72;Vendendor_A
923260;Dra. Isabelly Fernandes;963.051.487-75;Silveira;Cobaia Médica;Trecho de Melo, 976;andradeisabela@example.com;24/08/2008;17;23/05/2025;43;0,65;Vendedor_D
182228;Sra. Sophia Cavalcante;895.602.437-56;Vasconcelos de Barros;Físico;Sítio Aparecida, 298;abreurebeca@example.org;11/06/1937;88;10/11/2025;87;1,3;Vendendor_B
911664;Alícia Garcia;815.709.264-76;Leão da Praia;Apresentador;Conjunto Cauê Moreira, 1;fernandafogaca@example.net;28/11/2002;23;21/05/2025;793;11,89;Vendendor_B
359314;Sophie Machado;819.305.627-21;Porto;Juiz de futebol;Alameda de Peixoto, 60;yalves@example.net;02/06/1969;56;02/05/2025;727;10,9;Vendedor_D
604361;Stella Mendonça;927.168.035-95;Cavalcanti;Gerente de vendas;Estação Maria Sophia Cardoso, 19;tfarias@example.com;19/02/1982;43;01/05/2025;812;12,18;Vendendor_C
511789;Srta. Zoe da Mata;748.125.960-76;Nascimento da Serra;Chargista;Vereda Heitor Freitas, 6;omartins@example.com;20/09/2008;17;16/01/2025;111;1,67;Vendendor_C
820019;Maria Cecília Nascimento;951.436.082-60;Melo de Moraes;Radialista programador;Travessa Vargas, 2;pereirabianca@example.net;14/06/1981;44;06/09/2025;999;14,98;Vendendor_B
928671;Dr. Henry Gabriel Santos;237.859.041-50;Andrade;Ator;Jardim Jesus;augusto78@example.org;16/03/2010;15;25/09/2025;164;2,46;Vendedor_E
843428;Hadassa Nascimento;918.706.523-12;Mendonça;General;Rodovia Porto, 267;pimentacaua@example.net;18/01/1943;82;18/04/2025;952;14,28;Vendendor_C
645322;Ayla da Conceição;538.426.107-26;Albuquerque de Castro;Tabelião;Via Luiza Novais;emanuelly28@example.org;21/11/2013;12;23/10/2025;181;2,71;Vendendor_B
753306;Ísis Lopes;461.257.803-17;Sá das Pedras;Jogador de handebol;Conjunto da Cruz;ngoncalves@example.net;26/08/2022;3;17/12/2024;131;1,96;Vendendor_C
442682;Ryan Camargo;398.521.647-91;Nascimento Verde;Manobrista;Aeroporto Lima, 15;lorenaazevedo@example.net;06/09/2006;19;15/07/2025;864;12,96;Vendendor_A
752380;Igor da Rosa;279.608.534-10;Guerra;Avalista;Praça Farias;maria-sophiasales@example.net;22/12/2023;2;09/03/2025;523;7,84;Vendendor_A
599349;Rafael Rios;197.523.064-70;Pastor da Prata;Agente de defesa sanitária;Recanto da Rocha;agathasiqueira@example.net;02/04/1946;79;19/01/2025;429;6,43;Vendendor_A
688083;Ísis Moraes;980.125.473-41;Guerra;Capelão;Loteamento Oliveira, 63;barbosamaria-julia@example.com;05/07/1978;47;15/04/2025;439;6,58;Vendendor_C
586187;Raquel Costela;425.917.063-52;Monteiro;Percursionista;Rodovia Zoe Novais, 3;fonsecagael@example.org;18/07/1958;67;25/07/2025;751;11,26;Vendedor_E
795787;Ana Vitória Cirino;102.793.458-79;Campos Paulista;Intérprete;Distrito de Cassiano, 77;das-nevesyuri@example.com;25/01/1914;111;03/08/2025;935;14,03;Vendendor_B
355161;Alícia Lima;429.618.750-30;Pastor;Paginador;Recanto Marques, 1;hellena94@example.org;29/03/2015;10;19/07/2025;294;4,41;Vendedor_D
890864;Melissa Vieira;142.386.509-05;Vasconcelos;Florista;Viela Mateus Pires, 455;machadoana-clara@example.net;06/12/1998;27;27/02/2025;260;3,9;Vendendor_B
186886;Matteo Leão;051.729.468-02;Aparecida Alegre;Webmaster;Área de da Paz, 12;apollo72@example.org;12/09/1997;28;06/10/2025;202;3,03;Vendedor_E
427441;Srta. Sara Castro;609.837.152-03;Dias de Mendonça;Quiropraxista;Colônia Ana Júlia Azevedo, 99;manuellaaraujo@example.net;02/02/1911;114;20/09/2025;888;13,32;Vendendor_C
997555;Ana Carolina Gonçalves;407.382.159-88;Azevedo;Procurador de justiça;Pátio Rodrigues, 10;giovannada-paz@example.org;25/01/2023;2;03/05/2025;724;10,86;Vendedor_D
868661;Dra. Lavínia Costela;196.380.427-96;Silva;Tecnólogo em tecnologia da madeira;Alameda de Macedo, 614;teixeiradavi-luiz@example.org;26/03/1921;104;13/12/2024;623;9,34;Vendendor_C
334088;Dra. Lorena Casa Grande;180.794.632-04;Oliveira da Serra;Editor;Lagoa Pacheco, 51;brayanrodrigues@example.net;12/09/2007;18;21/12/2024;103;1,54;Vendendor_B
870768;Sophie Jesus;340.612.579-43;Pastor de Sá;Radialista;Setor de Sampaio;antonio33@example.net;29/11/1928;97;11/09/2025;123;1,84;Vendendor_C
607527;Mirella Pereira;564.209.318-51;Fernandes;Tabelião;Área de Alves, 667;tcavalcanti@example.org;18/12/2002;23;05/07/2025;193;2,9;Vendedor_E
853755;Dra. Sabrina Andrade;264.379.058-83;da Cunha;Lavador;Lago de da Rosa, 96;zmendonca@example.net;21/02/1963;62;10/04/2025;126;1,89;Vendendor_C
490638;Alícia Santos;380.597.642-92;Porto;Porteiro;Lago da Conceição, 33;joaquimgarcia@example.net;17/08/2025;0;19/10/2025;503;7,54;Vendedor_E
500459;Gustavo Borges;318.570.426-62;da Cruz;Acompanhante;Vila de Cavalcanti, 17;ymontenegro@example.com;15/02/1917;108;24/11/2024;785;11,78;Vendendor_B
693756;Juliana Dias;243.519.076-06;Porto do Sul;Estivador;Via de Costela, 91;opires@example.net;07/07/1999;26;09/05/2025;263;3,94;Vendendor_C
185518;Aylla Viana;031.759.468-01;Sousa;Militar da Aeronáutica;Estação Caio Souza;zsa@example.org;27/12/2021;4;22/01/2025;610;9,15;Vendendor_C
363892;Esther Pinto;503.692.417-70;das Neves dos Dourados;Engenheiro de controle e automação;Área Lopes, 83;voliveira@example.com;06/04/1981;44;23/12/2024;970;14,55;Vendendor_B
779380;Gustavo Sá;918.472.503-60;Moura Alegre;Optometrista;Vale Pimenta, 90;bianca96@example.com;30/10/1961;64;15/07/2025;401;6,01;Vendendor_B
142876;Marcela Abreu;741.962.503-43;Moreira da Mata;Jornaleiro;Setor de Sales, 34;camarabianca@example.com;09/06/1984;41;05/09/2025;828;12,42;Vendendor_A
917109;Hellena Rodrigues;856.971.423-82;Pimenta da Prata;Neurologista;Loteamento de Pinto, 59;ycostela@example.com;14/05/2012;13;13/12/2024;280;4,2;Vendedor_D
257878;Raul Ribeiro;198.357.462-73;Fogaça;Auditor;Estrada de Pacheco, 41;vrodrigues@example.org;20/06/1982;43;05/04/2025;712;10,68;Vendedor_E
209526;Léo Correia;410.395.278-41;Silva;Tradutor;Via Campos, 67;maysamelo@example.net;02/06/2015;10;24/10/2025;386;5,79;Vendendor_B
852999;Caroline Machado;612.043.785-17;Sousa Verde;Moleiro;Loteamento de Vieira, 22;allana64@example.org;08/04/2000;25;10/04/2025;482;7,23;Vendendor_A
469113;Raquel Campos;609.314.285-05;Novais do Sul;Cobrador de ônibus;Colônia Josué Câmara, 862;brunaguerra@example.net;16/05/1914;111;17/05/2025;683;10,24;Vendendor_C
256958;Gabriel Cassiano;913.275.840-50;Machado do Galho;Profissional de tecnologia de laticínios;Parque Campos, 40;gael-henriquegomes@example.com;28/03/1934;91;06/11/2025;453;6,79;Vendendor_B
482269;Luiz Miguel Pires;308.625.749-00;Garcia dos Dourados;Aeroviário;Rua Freitas;lopesjoao-lucas@example.net;22/10/1980;45;22/12/2024;351;5,26;Vendedor_E
599538;Maria Sophia Rios;604.287.315-62;da Mata;Mecânico;Fazenda de Campos, 794;thiago42@example.com;21/12/1922;103;27/10/2025;883;13,24;Vendendor_C
389896;Ana Beatriz Andrade;731.640.859-66;Macedo das Pedras;Polidor de produção;Lagoa da Luz;yda-conceicao@example.net;31/08/2017;8;02/03/2025;613;9,2;Vendendor_B
458775;Gabriela Almeida;918.356.240-06;Pacheco;Engenheiro de transportes;Loteamento Fernandes;maria-clara12@example.com;20/10/2002;23;09/01/2025;866;12,99;Vendedor_D
229784;Pedro da Rosa;058.792.364-47;Albuquerque do Norte;Técnico em aviação;Quadra de Garcia, 5;sabrinaalbuquerque@example.org;26/02/1949;76;17/06/2025;721;10,81;Vendedor_E
222781;Esther Peixoto;638.549.170-66;Azevedo da Mata;Remador;Chácara de Martins;glima@example.org;31/05/1936;89;30/10/2025;156;2,34;Vendedor_D
410012;Kevin Mendes;418.073.526-17;Moreira;Mergulhador;Residencial de Lima, 46;coliveira@example.org;06/08/2017;8;18/02/2025;857;12,85;Vendendor_A
334049;Srta. Agatha Peixoto;895.741.023-60;Pinto;Gastroenterologista;Jardim de Silveira, 51;olivia85@example.net;01/01/2023;2;10/11/2025;400;6,0;Vendedor_E
265061;Dr. José Pedro Araújo;804.576.312-44;Fonseca de da Mota;Topógrafo;Lagoa de Gonçalves, 43;gael-henrique22@example.net;17/07/1925;100;12/02/2025;994;14,91;Vendendor_A
657269;Zoe Viana;120.349.768-78;Novaes de Fernandes;Sapateiro;Favela Farias, 16;sleao@example.org;18/09/1987;38;17/09/2025;239;3,58;Vendendor_B
900342;Isaac Caldeira;937.160.245-70;Cunha de Silveira;Modelista;Distrito Albuquerque, 810;bianca31@example.org;03/10/1999;26;09/11/2025;63;0,94;Vendedor_E
196472;Dr. João Miguel da Rosa;079.385.462-83;Araújo;Profissional de tecnologia de laticínios;Lago Machado, 45;tabreu@example.org;22/12/1976;49;10/11/2025;795;11,92;Vendendor_B
190590;Alícia Martins;436.971.502-43;Pinto;Fundidor de placa de gesso;Morro de Correia, 98;da-conceicaohadassa@example.org;17/07/1934;91;19/06/2025;487;7,3;Vendendor_A
742147;Sr. João Guilherme Moreira;563.179.428-46;Peixoto das Pedras;Agente comunitário de saúde;Praia Sabrina Cunha, 28;da-conceicaoarthur-gabriel@example.net;20/03/1974;51;15/02/2025;496;7,44;Vendedor_D
627540;Caleb Vasconcelos;426.087.159-58;da Costa de Garcia;Maestro;Área de Farias, 9;santoseduarda@example.net;19/10/1978;47;11/11/2024;266;3,99;Vendendor_A
342130;Sra. Helena Fernandes;032.896.514-60;Sá;Personal stylist;Colônia de Vasconcelos, 78;mariane62@example.net;09/02/2020;5;16/06/2025;686;10,29;Vendendor_C
891817;Isabela da Conceição;023.915.864-42;Porto Grande;Técnico em edificações;Jardim Lopes, 18;casa-grandeclara@example.org;23/04/2004;21;06/05/2025;133;1,99;Vendedor_D
235348;Nicolas Cardoso;813.257.960-77;Fonseca Alegre;Zootecnista;Jardim Costa;rezenderaul@example.com;26/05/1975;50;09/05/2025;29;0,43;Vendendor_A
